wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextWert;price1;price2;priceDelta
-6.2;-221.2;1.0;1;1;-7;1;0;-150;99000;178000;-79000
-15.0;-169.0;0.0;0;-1;-10;1;0;-150;99000;245000;-146000
0.19;0.19;0.0;0;0;0;0;0;0;99000;99000;0
8.19;264.19;-0.5;1;-1;12;0;0;0;99000;119000;-20000
-12.81;100.19;-3.0;0;-2;2;0;0;-150;99000;185000;-86000
0.0;0.0;0.0;0;0;0;0;0;0;102000;112000;-10000
2.0;8.0;-1.0;1;0;-148;2;0;-50;102000;145000;-43000
-13.0;-1.0;-1.0;0;0;-56;1;2;-50;102000;249500;-147500
3.0;258.0;-1.0;0;1;-4;0;0;200;104000;175000;-71000
-22.0;-11.0;-1.0;0;1;-19;0;0;-50;104000;299000;-195000
18.0;428.0;-1.0;0;0;-2;0;0;-50;104000;195000;-91000
4.0;4026.0;0.0;0;-1;-16;0;0;-100;105000;239000;-134000
11.12;4308.0;-2.0;0;-1;-5;1;0;50;105000;218000;-113000
17.0;4201.0;-1.0;0;-1;-9;1;0;0;105000;350000;-245000
-5.0;87.0;-4.0;1;-1;0;0;0;50;109000;127000;-18000
0.0;87.0;1.0;1;-2;0;-1;0;-100;109000;113875;-4875
0.0;87.0;1.0;1;-2;0;-1;0;-100;109000;113875;-4875
-16.0;-106.0;0.0;0;1;2;0;2;-150;110000;330000;-220000
11.0;-336.0;0.0;0;0;-64;2;0;-50;110000;265000;-155000
11.0;305.0;1.0;0;0;3;3;3;200;110000;179000;-69000
0.0;0.0;0.0;0;0;0;0;0;0;112000;102000;10000
2.0;8.0;-1.0;1;0;-148;2;0;-50;112000;145000;-33000
-13.0;-1.0;-1.0;0;0;-56;1;2;-50;112000;249500;-137500
0.0;0.0;0.0;0;0;0;0;0;0;113875;113875;0
0.0;-87.0;-1.0;1;2;0;1;0;100;113875;109000;4875
0.0;22.0;-3.0;0;2;0;0;2;-50;113875;99000;14875
0.0;0.0;0.0;0;0;0;0;0;0;113875;113875;0
0.0;-87.0;-1.0;1;2;0;1;0;100;113875;109000;4875
0.0;22.0;-3.0;0;2;0;0;2;-50;113875;99000;14875
7.6;-202.0;1.0;0;-1;20;-2;0;0;115000;70000;45000
-11.58;-729.0;0.0;0;-1;-12;0;0;0;115000;275000;-160000
-10.0;-402.0;0.0;0;-1;-7;0;2;50;115000;169000;-54000
0.0;26.0;-0.5;0;0;-3;0;0;-100;119000;139000;-20000
-8.0;-264.0;0.5;1;1;-12;0;0;0;119000;99000;20000
-8.19;-264.19;0.5;1;1;-12;0;0;0;119000;99000;20000
0.0;516.0;-3.0;0;0;-14;0;0;0;119000;127000;-8000
5.0;429.0;1.0;1;1;-14;0;0;-50;119000;109000;10000
13.65;266.0;1.0;0;-1;-82;0;0;0;119000;120000;-1000
-2.6;5.0;1.0;0;0;8;-3;2;50;119000;199900;-80900
6.0;-23.0;1.0;0;0;-60;0;0;50;119000;254000;-135000
6.0;-23.0;1.0;0;0;-60;0;0;50;119000;269000;-150000
4.01;-20.0;0.0;0;-2;0;1;2;-50;119000;235000;-116000
4.01;-20.0;0.0;0;-2;0;1;2;-50;119000;219000;-100000
6.01;143.0;0.0;0;-1;-2;2;2;0;119000;199000;-80000
-25.0;137.0;-2.0;0;-1;56;-1;2;0;119500;258000;-138500
-25.03;136.97;-2.0;0;-1;56;-1;2;0;119500;258000;-138500
-10.0;-179.0;-1.0;0;-1;83;3;2;-100;119500;239000;-119500
0.0;0.0;0.0;0;0;0;0;0;0;119900;119900;0
4.76;-0.24;-2.0;1;0;-60;-4;0;0;119900;289000;-169100
5.0;0.0;-2.0;1;0;-60;-4;0;0;119900;289000;-169100
0.0;0.0;0.0;0;0;0;0;0;0;119900;119900;0
4.76;-0.24;-2.0;1;0;-60;-4;0;0;119900;289000;-169100
5.0;0.0;-2.0;1;0;-60;-4;0;0;119900;289000;-169100
-12.65;-137.0;1.0;0;0;6;0;2;-100;120000;169000;-49000
-12.65;-137.0;1.0;0;0;6;0;2;-100;120000;199000;-79000
11.35;-1648.0;4.0;1;2;-4;0;0;0;120000;65000;55000
0.0;0.0;0.0;0;0;0;0;0;0;120000;120000;0
1.07;20.0;0.0;0;0;4;0;0;-300;120000;179000;-59000
7.01;53.0;1.0;0;1;-32;0;0;0;120000;99000;21000
8.0;186.0;1.0;0;-1;-1;1;-2;-100;120000;145000;-25000
-13.18;-399.0;1.0;1;0;3;-3;0;-50;120000;438000;-318000
-2.0;-298.0;3.0;1;-1;86;0;0;-50;120000;219000;-99000
-5.0;-1140.0;-2.0;0;-1;-14;1;0;-50;120000;279000;-159000
20.0;-110.0;-1.0;0;1;12;3;-2;-50;120000;70000;50000
20.0;-514.0;0.0;0;-1;4;3;0;-100;120000;125000;-5000
5.0;-9220.0;0.0;0;1;0;2;0;0;120000;389000;-269000
-12.0;17.0;-1.0;1;1;0;-1;2;-50;120000;169000;-49000
-1.8;-303.0;-1.0;0;0;0;3;2;-50;120000;140000;-20000
1.43;259.0;0.0;0;1;-23;-1;0;-100;120000;180000;-60000
13.61;-72.0;0.0;0;1;-20;0;2;0;120000;279000;-159000
6.25;5.0;0.0;1;0;-10;0;0;300;120000;148000;-28000
-1.91;-301.0;-2.0;0;-1;109;1;0;0;120000;315500;-195500
-1.91;-301.0;-2.0;0;-1;109;1;0;0;120000;295500;-175500
-28.91;-331.0;-1.0;0;1;0;-6;0;0;120000;699000;-579000
0.0;0.0;0.0;0;0;0;0;0;0;120000;120000;0
1.07;20.0;0.0;0;0;4;0;0;-300;120000;179000;-59000
7.01;53.0;1.0;0;1;-32;0;0;0;120000;99000;21000
1.0;-447.0;1.0;0;-1;-55;0;0;0;124900;169000;-44100
1.0;-400.0;1.0;0;-2;-63;0;0;-100;124900;169000;-44100
33.0;-307.0;1.0;0;0;0;0;0;-150;124900;79000;45900
0.0;120.0;0.0;0;1;-8;-2;0;-250;125000;162000;-37000
-5.0;-102.0;-2.0;0;0;-37;-1;0;-50;125000;195000;-70000
0.0;404.0;-1.0;0;2;8;0;-2;50;125000;70000;55000
0.0;0.0;0.0;0;0;0;0;0;0;125000;125000;0
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;149000;-24000
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;174000;-49000
-15.0;106.0;0.0;0;1;15;-1;0;50;125000;162000;-37000
-20.0;-13.0;-1.0;0;0;-12;1;0;-100;125000;229000;-104000
2.0;79.0;-1.0;0;2;51;1;0;50;125000;79000;46000
0.0;0.0;0.0;0;0;0;0;0;0;125000;125000;0
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;149000;-24000
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;174000;-49000
5.0;-87.0;4.0;1;1;0;0;0;-50;127000;109000;18000
5.0;0.0;5.0;0;-1;0;-1;0;-150;127000;113875;13125
5.0;0.0;5.0;0;-1;0;-1;0;-150;127000;113875;13125
-19.0;-149.0;0.0;0;0;-3;0;-1;150;129000;135000;-6000
-3.53;-430.0;0.0;1;0;-18;0;-1;0;129000;175000;-46000
11.0;78.0;-6.0;1;0;7;-1;0;300;129000;179000;-50000
-11.0;-147.0;0.5;1;0;2;-2;2;50;129000;485000;-356000
-2.0;-144.0;2.0;1;2;-10;-1;2;50;129000;469000;-340000
0.0;-43.0;1.0;1;1;8;0;2;250;129000;397000;-268000
-29.0;136.0;0.0;0;1;6;-2;0;0;129000;198000;-69000
-29.0;136.0;0.0;0;1;6;-2;0;0;129000;198000;-69000
9.2;42.0;0.0;0;0;-44;0;2;0;129000;140000;-11000
9.0;-209.0;1.0;0;2;-10;-1;0;0;129000;152000;-23000
9.0;-209.0;1.0;0;2;-10;-1;0;0;129000;152000;-23000
-2.0;-495.0;1.0;0;2;-4;-1;0;0;129000;239000;-110000
-12.0;-298.0;-8.0;0;-1;-18;0;0;200;129999;179000;-49001
-22.0;132.0;-2.0;0;0;63;1;0;-50;129999;69000;60999
3.0;136.0;1.0;0;0;-12;-2;-1;-250;129999;120000;9999
-5.0;-78.0;1.0;0;-1;1;1;0;50;130000;295000;-165000
5.0;318.0;1.0;1;0;2;0;0;50;130000;162000;-32000
-7.11;159.0;1.0;1;1;-12;-1;0;-100;130000;229900;-99900
-20.0;1516.0;-0.5;1;-2;1;0;0;100;134500;329000;-194500
-26.0;1229.0;0.5;1;-2;-12;0;0;100;134500;398000;-263500
-26.0;1229.0;0.5;1;-2;-12;0;0;100;134500;450000;-315500
4.0;-627.0;0.0;0;0;-1;0;0;-100;134500;169000;-34500
