wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
170;700;6;doppelhaushälfte;1.19;1958;4;0;3;Terrasse. Garten ;Massivhaus;895000;94422240;30519;Am Schafbrinke 86;Hannover;Waldheim;11;4650
117;238;4.5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse ;Massivhaus;569900;35027788;30519;Friedhofsallee 4-8;HannoverSeelhorst;;11;4650
123;511;4;einfamilienhaus;0;2012;2.8;1;1;Terrasse. Garten ;Massivhaus;780000;76486647;30519;Straße nicht freigegeben;Hannover;Waldheim;11;4650
160;1760;5;einfamilienhaus;1.19;1975;2.8;1.2;1.9;Terasse;Massivhaus;750000;95736916;30519;Straße nicht freigegeben;Hannover;Döhren;11;4650
117;235;4.5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse ;Massivhaus;524900;77614749;30519;Friedhofsallee 4-8;HannoverSeelhorst;;11;4650
117;238;4.5;einfamilienhaus;1.19;2023;2.8;1.2;1.9;Terrasse ;Massivhaus;549900;20029043;30519;Friedhofsallee 4-8;HannoverSeelhorst;;11;4650
468;355;1;mehrfamilienhaus;2;1972;2.8;1.2;1.9;Terasse;Massivhaus;1250000;82835812;30519;Straße nicht freigegeben;Hannover;Döhren;11;4650
135;182;5;einfamilienhaus;2;1968;2.8;1.2;2;Terrasse. Garten ;Massivhaus;299000;11462704;30519;Siegelweg 31;Hannover;Seelhorst;11;4650
493.03;793;15;mehrfamilienhaus;1.19;2024;2.8;1.2;1.9;Terasse;KfW 40;2095000;16192124;49661;Straße nicht freigegeben;Cloppenburg;;9;2500
112;740;4;einfamilienhaus;1.19;1978;2;1.2;1.9;Terasse;Massivhaus;389000;54262212;49661;Straße nicht freigegeben;Cloppenburg;;9;2500
105;223;6;doppelhaushälfte;0;2022;8;1.2;2;Terrasse. Garten ;Massivhaus;349500;66786509;49661;Straße nicht freigegeben;Cloppenburg;;9;2500
138.5;280;4.5;doppelhaushälfte;0;2022;8;1.2;2;Terrasse. Garten ;Massivhaus;399900;23390222;49661;Straße nicht freigegeben;Cloppenburg;;9;2500
250;787;5;einfamilienhaus;1.19;2010;5;1;1.9;Terasse;Massivhaus;699000;31816491;49661;Straße nicht freigegeben;Cloppenburg;Emstekerfeld;9;2500
