id;plz;stadt;strasse;stadtteil;preis;wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextLabel;kontextWert
34065196;31655;Stadthagen;Straße nicht freigegeben;;119900;175.0;681.0;4.0;doppelhaushälfte;0;1925;0;3;10;1950
92882516;37574;Einbeck;Straße nicht freigegeben;Kuventhal;120000;141.35;533.0;6.0;einfamilienhaus;2;1968;0;3;5;1050
80436945;38685;Langelsheim;Straße nicht freigegeben;Astfeld;120000;71.5;289.0;4.0;doppelhaushälfte;2;1959;0;3;5;2350
55518834;31084;Freden;Straße nicht freigegeben;LeineMeimerhausen;120000;188.0;506.0;8.0;einfamilienhaus;1;1991;1;1;1;950
82157404;29439;Lüchow;Straße nicht freigegeben;;120000;105.0;86.0;3.0;einfamilienhaus;1;1932;3;1;0;1450
15460853;38319;Remlingen;Straße nicht freigegeben;;120000;145.0;400.0;6.0;einfamilienhaus;2;1900;3;3;2;1800
91502312;26969;Butjadingen;Straße nicht freigegeben;;120000;156.25;1474.0;6.0;einfamilienhaus;2;1913;0;3;0;2150
56121216;31061;Alfeld;Straße nicht freigegeben;Leine;120000;178.09;266.0;4.0;einfamilienhaus;1;2020;1;1;9;1400
54134486;38685;Langelsheim;Straße nicht freigegeben;Astfeld;120000;71.5;289.0;4.0;doppelhaushälfte;2;1959;0;3;5;2350
17765854;37191;KatlenburgLindau;Straße nicht freigegeben;Gillersheim;124900;101.0;200.0;5.0;einfamilienhaus;0;1900;0;1;1;1650
61087856;31840;HessischOldendorf;Straße nicht freigegeben;Fischbeck;125000;85.0;600.0;3.0;einfamilienhaus;2;1928;0;1;6;1550
90460380;29481;Karwitz;Straße nicht freigegeben;;125000;65.0;800.0;2.5;einfamilienhaus;2;1995;0;3;0;2000
71977517;29303;Bergen;Straße nicht freigegeben;;125000;70.0;586.0;3.0;einfamilienhaus;2;1951;1;1;1;1850
50743546;29481;Karwitz;Straße nicht freigegeben;;125000;65.0;800.0;2.5;einfamilienhaus;2;1995;0;3;0;2000
