wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;kontextWert;price1;price2;priceDelta
0.0;22.0;-3.0;0;2;0;0;2;-50;113875;99000;14875
0.0;-87.0;-1.0;1;2;0;1;0;100;113875;109000;4875
7.6;-202.0;1.0;0;-1;20;-2;0;0;115000;70000;45000
5.0;-282.0;1.0;0;0;20;-2;2;0;115000;162000;-47000
-10.0;-402.0;0.0;0;-1;-7;0;2;50;115000;169000;-54000
0.0;26.0;-0.5;0;0;-3;0;0;-100;119000;139000;-20000
-8.0;102.0;-0.5;0;0;2;0;2;-100;119000;210000;-91000
-3.0;-63.0;-1.5;0;0;-23;-3;0;0;119000;179000;-60000
-18.36;-102.0;0.0;0;0;-10;-1;2;0;119000;218000;-99000
-2.6;5.0;1.0;0;0;8;-3;2;50;119000;199900;-80900
37.0;18.0;2.0;0;1;-2;-1;0;-50;119000;152000;-33000
-25.0;137.0;-2.0;0;-1;56;-1;2;0;119500;258000;-138500
-25.03;136.97;-2.0;0;-1;56;-1;2;0;119500;258000;-138500
-64.0;158.0;-3.0;1;-1;14;2;2;0;119500;271820;-152320
-12.65;-137.0;1.0;0;0;6;0;2;-100;120000;169000;-49000
-12.65;-137.0;1.0;0;0;6;0;2;-100;120000;199000;-79000
39.35;-75.0;0.0;0;0;30;0;0;-50;120000;89000;31000
-19.0;-13.0;-1.0;1;0;16;-1;-2;-50;120000;135000;-15000
8.0;186.0;1.0;0;-1;-1;1;-2;-100;120000;145000;-25000
27.54;66.0;1.0;0;-1;91;-1;0;-50;120000;180000;-60000
20.0;-110.0;-1.0;0;1;12;3;-2;-50;120000;70000;50000
-25.0;-23.0;-5.0;0;-1;32;3;-2;50;120000;89900;30100
-3.0;-136.0;-1.0;0;0;12;2;1;250;120000;129999;-9999
-12.0;17.0;-1.0;1;1;0;-1;2;-50;120000;169000;-49000
-20.0;-140.0;0.0;1;0;-5;1;2;50;120000;329000;-209000
6.0;79.0;0.0;0;0;-61;0;2;50;120000;249000;-129000
13.61;-72.0;0.0;0;1;-20;0;2;0;120000;279000;-159000
-28.56;148.0;-2.0;0;1;11;0;0;0;120000;267000;-147000
-20.75;24.0;1.0;0;1;-47;-1;2;0;120000;249900;-129900
-28.91;-331.0;-1.0;0;1;0;-6;0;0;120000;699000;-579000
18.09;71.0;-1.0;0;-1;129;1;0;50;120000;84500;35500
19.09;-251.0;-3.0;1;-1;18;1;-2;0;120000;99000;21000
16.0;4.0;1.0;0;0;-20;0;-2;150;124900;70000;54900
-36.5;-100.0;-1.0;1;-2;0;-2;0;100;124900;180000;-55100
-29.0;-239.0;-1.0;0;-2;-30;-1;0;0;124900;199000;-74100
-25.0;-138.0;-1.0;0;1;1;-1;1;-100;125000;239000;-114000
-15.0;-47.0;-1.0;0;1;-27;0;0;-100;125000;169000;-44000
1.79;-150.0;0.0;0;2;-74;-5;0;-50;125000;300000;-175000
0.0;0.0;0.0;0;0;0;0;0;0;125000;125000;0
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;149000;-24000
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;174000;-49000
-15.0;106.0;0.0;0;1;15;-1;0;50;125000;162000;-37000
-44.0;-128.0;-3.0;0;0;-2;0;0;0;125000;219000;-94000
-27.11;-53.0;0.0;0;2;1;-2;0;-100;125000;229900;-104900
0.0;0.0;0.0;0;0;0;0;0;0;125000;125000;0
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;149000;-24000
-13.0;30.0;-0.5;0;2;-18;0;2;0;125000;174000;-49000
5.0;-87.0;4.0;1;1;0;0;0;-50;127000;109000;18000
-5.46;-157.0;3.0;0;-1;0;-2;2;50;127000;180000;-53000
5.0;0.0;5.0;0;-1;0;-1;0;-150;127000;113875;13125
-29.0;136.0;0.0;0;1;6;-2;0;0;129000;198000;-69000
-29.0;136.0;0.0;0;1;6;-2;0;0;129000;198000;-69000
9.2;42.0;0.0;0;0;-44;0;2;0;129000;140000;-11000
9.0;-209.0;1.0;0;2;-10;-1;0;0;129000;152000;-23000
9.0;-209.0;1.0;0;2;-10;-1;0;0;129000;152000;-23000
-33.72;79.0;-1.0;1;2;-11;-2;3;0;129000;698000;-569000
-42.0;-61.0;-1.0;0;-1;20;0;-3;0;129999;113875;16124
-42.0;-61.0;-1.0;0;-1;20;0;-3;0;129999;113875;16124
-42.0;-39.0;-4.0;0;1;20;0;-1;-50;129999;99000;30999
-35.0;1006.0;0.0;0;-2;-20;0;2;0;134500;529000;-394500
-20.0;1516.0;-0.5;1;-2;1;0;0;100;134500;329000;-194500
-35.0;1254.0;-0.5;1;-2;-2;0;2;-50;134500;599000;-464500
0.0;19.0;-1.0;0;0;120;0;3;-50;134500;144000;-9500
21.0;-50.0;0.0;0;0;9;-2;2;-150;134500;249000;-114500
22.5;-29.0;0.0;1;0;70;-1;2;50;134500;180000;-45500
19.0;13.0;1.0;1;0;-16;1;2;50;135000;120000;15000
5.82;-386.0;2.0;0;0;-13;-2;2;0;135000;438000;-303000
65.65;-14.0;3.0;1;-1;7;2;0;-50;135000;120000;15000
6.0;-218.0;0.0;0;0;-32;1;2;0;135000;199000;-64000
6.0;-218.0;0.0;0;0;-32;1;2;0;135000;169000;-34000
10.0;169.0;0.0;0;0;30;0;0;-50;135000;113875;21125
-8.0;-53.0;1.0;1;0;-6;0;3;0;136000;278000;-142000
2.0;3.0;0.0;0;0;7;-2;2;100;136000;279000;-143000
-45.0;-21.0;-3.0;0;0;-2;-2;2;0;136000;230000;-94000
-63.0;-220.0;-5.0;0;2;-8;-2;0;-50;137637;250000;-112363
-63.0;-304.0;-5.0;1;0;-1;-1;-2;-50;137637;320000;-182363
-45.88;-316.0;-3.0;0;1;-42;0;-2;0;137637;218000;-80363
-8.0;76.0;0.0;0;0;5;0;2;0;139000;210000;-71000
0.0;-26.0;0.5;0;0;3;0;0;100;139000;119000;20000
0.0;106.0;0.0;0;0;7;0;2;-100;139000;185000;-46000
-9.2;-42.0;0.0;0;0;44;0;-2;0;140000;129000;11000
-10.2;320.0;0.0;1;1;0;-4;0;0;140000;169000;-29000
56.8;-78.0;3.0;0;2;0;0;-2;0;140000;169000;-29000
-4.0;10.0;-1.0;0;2;-14;-1;3;0;140000;299900;-159900
6.0;4.0;1.0;0;0;-2;-2;2;-50;140000;259000;-119000
-4.0;9.0;-2.0;0;1;7;-2;2;0;140000;250000;-110000
-4.38;-118.0;-1.0;0;-1;-4;-1;2;0;140000;325000;-185000
4.03;-41.0;0.0;0;-2;-16;2;2;0;140000;199000;-59000
-19.38;-64.0;1.0;0;-1;-10;0;0;0;140000;299000;-159000
0.0;-19.0;1.0;0;0;-120;0;-3;50;144000;134500;9500
30.0;-187.0;1.0;0;0;-80;0;-1;0;144000;199000;-55000
21.0;-69.0;1.0;0;0;-111;-2;-1;-100;144000;249000;-105000
-8.0;-186.0;-1.0;0;1;1;-1;2;100;145000;120000;25000
25.0;37.0;-3.0;0;1;92;0;0;0;145000;127000;18000
38.65;-213.0;1.0;0;0;24;0;0;0;145000;120000;25000
41.0;85.0;1.0;0;2;18;0;1;0;145000;289000;-144000
31.0;178.0;0.0;0;0;15;-1;0;100;145000;185000;-40000
-25.72;242.0;-1.0;0;0;113;-1;0;0;145000;172000;-27000
-0.01;-0.01;0.0;0;0;0;0;0;0;149000;149000;0
