wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
175.0;681.0;4.0;doppelhaushälfte;0;1925;0;3;119900;34065196;31655;Straße nicht freigegeben;Stadthagen;;10;1950
141.35;533.0;6.0;einfamilienhaus;2;1968;0;3;120000;92882516;37574;Straße nicht freigegeben;Einbeck;Kuventhal;5;1050
71.5;289.0;4.0;doppelhaushälfte;2;1959;0;3;120000;80436945;38685;Straße nicht freigegeben;Langelsheim;Astfeld;5;2350
188.0;506.0;8.0;einfamilienhaus;1;1991;1;1;120000;55518834;31084;Straße nicht freigegeben;Freden;LeineMeimerhausen;1;950
105.0;86.0;3.0;einfamilienhaus;1;1932;3;1;120000;82157404;29439;Straße nicht freigegeben;Lüchow;;0;1450
145.0;400.0;6.0;einfamilienhaus;2;1900;3;3;120000;15460853;38319;Straße nicht freigegeben;Remlingen;;2;1800
156.25;1474.0;6.0;einfamilienhaus;2;1913;0;3;120000;91502312;26969;Straße nicht freigegeben;Butjadingen;;0;2150
178.09;266.0;4.0;einfamilienhaus;1;2020;1;1;120000;56121216;31061;Straße nicht freigegeben;Alfeld;Leine;9;1400
71.5;289.0;4.0;doppelhaushälfte;2;1959;0;3;120000;54134486;38685;Straße nicht freigegeben;Langelsheim;Astfeld;5;2350
101.0;200.0;5.0;einfamilienhaus;0;1900;0;1;124900;17765854;37191;Straße nicht freigegeben;KatlenburgLindau;Gillersheim;1;1650
85.0;600.0;3.0;einfamilienhaus;2;1928;0;1;125000;61087856;31840;Straße nicht freigegeben;HessischOldendorf;Fischbeck;6;1550
65.0;800.0;2.5;einfamilienhaus;2;1995;0;3;125000;90460380;29481;Straße nicht freigegeben;Karwitz;;0;2000
70.0;586.0;3.0;einfamilienhaus;2;1951;1;1;125000;71977517;29303;Straße nicht freigegeben;Bergen;;1;1850
65.0;800.0;2.5;einfamilienhaus;2;1995;0;3;125000;50743546;29481;Straße nicht freigegeben;Karwitz;;0;2000
155.0;283.0;10.0;einfamilienhaus;1;1900;0;3;127000;36812114;37574;Straße nicht freigegeben;Einbeck;Greene;5;1050
131.0;598.0;6.0;doppelhaushälfte;2;1945;0;0;129000;63176150;37170;Straße nicht freigegeben;Uslar;Sohlingen;5;1300
