url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/26bb456;2022-07-19 20:16:54.797370;Nutzen Sie die Chance und bauen mit uns noch nach den aktuellen GEG-Konditionen!!;200010;92.0;3;1;Straße nicht freigegeben;31191;Algermissen;Wätzum;Bungalow;;Zustand: Neubau, projektiert ;;;2022.0;B;
https://www.immowelt.de/expose/26h4755;2022-07-19 20:16:55.711271;Transluzenz - eine besondere Architektursprache;1590000;305.0;4;1823;Straße nicht freigegeben;31191;AlgermissenUmmeln;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;2010.0;B;Terrasse, Balkon 
https://www.immowelt.de/expose/26y2p5e;2022-07-19 20:16:56.626227;Charmantes Zuhause in ruhiger Lage: Gepflegtes Reihenmittelhaus in Algermissen;279000;100.0;4;221;Straße nicht freigegeben;31191;Algermissen;Bledeln;Reihenmittelhaus;;Zustand: gepflegt ;voll unterkellert ;;1978.0;E;Terrasse, Garten 
https://www.immowelt.de/expose/26vkp53;2022-07-19 20:16:57.361440;Zweifamilienhaus zwischen Hannover und Hildesheim;455000;211.0;6,5;683;Straße nicht freigegeben;31191;AlgermissenBledeln;;Mehrfamilienhaus;;;voll unterkellert ;;1995.0;D;Terrasse, Balkon 
https://www.immowelt.de/expose/253cc5r;2022-07-19 20:16:58.552478;Zweifamilienhaus zwischen Hannover und Hildesheim;455000;211.0;k.A.;683;Straße nicht freigegeben;31191;AlgermissenBledeln;;Mehrfamilienhaus;;;voll unterkellert ;;1995.0;D;Terrasse, Balkon 
https://www.immowelt.de/expose/24mrf5q;2022-07-19 20:16:59.378767;Das Haus der vielen Möglichkeiten;429000;262.0;10;556;Straße nicht freigegeben;31191;Algermissen;;Reihenendhaus;;Zustand: gepflegt ;teilweise unterkellert ;Massivhaus;1960.0;F;Balkon 
https://www.immowelt.de/expose/25pz855;2022-07-19 20:17:00.138895;Ein Haus das die ganze Familie glücklich macht;285000;155.0;7;414;Hermann-Löns Str. 28;31191;Algermissen;;Doppelhaushälfte;;;;;1959.0;E;Terrasse 
https://www.immowelt.de/expose/26bjt5a;2022-07-19 20:17:04.249695;WOHNOASE DER PREMIUMKLASSE MIT LUXUS-KÜCHE & TRAUMGARTEN - EINZUGSBEREIT!;765000;150.0;5;315;Straße nicht freigegeben;38120;Braunschweig;Timmerlah;Doppelhaushälfte;;Zustand: renoviert ;;;2004.0;D;
https://www.immowelt.de/expose/2537g5b;2022-07-19 20:17:04.931496;Gepflegtes Reihenmittelhaus mit kleinem Garten!;480000;152.0;4;204;Straße nicht freigegeben;38120;BraunschweigWeststadt;;Reihenmittelhaus;;Zustand: gepflegt ;voll unterkellert ;;1992.0;C;
https://www.immowelt.de/expose/26bv95a;2022-07-19 20:17:05.767578;Großzügiges Einfamilienhaus mit 9 Zimmern und Einliegerwohnung im OG;699000;219.0;9;744;Straße nicht freigegeben;38120;Braunschweig;Weststadt;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1977.0;F;Terrasse, Garten, Wintergarten 
