url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/26hth5g;2022-07-24 14:25:03.460827;MODERNISIERT MIT EINLIEGERWOHNUNG;498000;282.0;12;1112;Straße nicht freigegeben;21702;Ahlerstedt;;Mehrfamilienhaus;2.0;;;;;;Terrasse, Garten 
https://www.immowelt.de/expose/262c25h;2022-07-24 14:25:04.202948;Attraktives Mehrgenerationenhaus im OT-Watenbüttel;373500;131.57;3;512;Straße nicht freigegeben;38112;Braunschweig;Watenbüttel;Einfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;;Massivhaus;1970.0;D;Balkon 
https://www.immowelt.de/expose/26bb25h;2022-07-24 14:25:05.222690;Attraktives Mehrgenerationenhaus im OT-Watenbüttel;373500;175.84;7;512;Straße nicht freigegeben;38112;Braunschweig;Watenbüttel;Einfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;;Massivhaus, Minergie-Bauweise;1970.0;D;
