url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/26pbj5g;2022-07-21 13:35:21.137319;Mehrfamilienhaus mit großem Grundstück!;530000;370.0;20;2587;Straße nicht freigegeben;21698;Harsefeld;Ohrensen;Mehrfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;voll unterkellert ;;1900;;
https://www.immowelt.de/expose/26ydt58;2022-07-21 13:35:21.862803;Top modernisiertes Wohnhaus in Seulingen;154500;147.0;5;110;Straße nicht freigegeben;37136;Seulingen;;Reihenendhaus;;;;Massivhaus;1900;D;
https://www.immowelt.de/expose/265gq5f;2022-07-21 13:35:22.623678;Erstklassig renoviertes Eigenheim - einziehen und wohlfühlen!;520000;170.0;6;1000;Papenberg 5;37136;Ebergötzen;;Einfamilienhaus;2.0;Zustand: Altbau (bis 1945), renoviert / saniert ;teilweise unterkellert ;;1978;;Terrasse, Garten 
https://www.immowelt.de/expose/26yl95e;2022-07-21 13:35:23.305820;Haus in schöner Lage mit unverbautem Blick in die Ferne;590000;240.0;5;757;Straße nicht freigegeben;49326;Melle;Gesmold;Einfamilienhaus;2.0;;voll unterkellert ;;1974;;Terrasse, Garten 
https://www.immowelt.de/expose/26u4f5d;2022-07-21 13:35:24.009559;Einfamilienhaus auf schönem Grundstück;399000;140.0;4;742;Straße nicht freigegeben;49326;MelleNeuenkirchen;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1990;F;
https://www.immowelt.de/expose/25zaw5u;2022-07-21 13:35:24.743410;Zweifamilienhaus mit Ausbaureserve in Melle/Gesmold;460000;342.83;9;1371;Straße nicht freigegeben;49326;Melle;Gesmold;Mehrfamilienhaus;;Zustand: gepflegt ;teilweise unterkellert ;;1950;G;Terrasse 
https://www.immowelt.de/expose/256sq5h;2022-07-21 13:35:25.715741;Wohnen am Waldrand - Bungalow mit ausgebautem Walmdach;399500;185.0;8;849;Straße nicht freigegeben;49844;Bawinkel;;Einfamilienhaus;;Zustand: gepflegt ;teilweise unterkellert ;;1978;;
https://www.immowelt.de/expose/263zw5g;2022-07-21 13:35:26.546654;Liegt am Wald - und doch zentrumsnah: Ebenerdig - Modern - Vollkeller! Provisionsfrei für den Käufer;419000;163.0;4;1176;Straße nicht freigegeben;49844;Bawinkel;;Bungalow;;;voll unterkellert ;Massivhaus;1980;D;Terrasse 
