url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/25m5t5w;2022-07-22 23:32:23.380971;Von privat: Zweifamilienhaus in unverbaubarer Ortsrandlage/Ebstorf;520000;240;11;1085;Eichenweg 5;29574;Ebstorf;;Mehrfamilienhaus;2.0;;voll unterkellert ;;1994;D;Garten, Terrasse 
https://www.immowelt.de/expose/26ruc5h;2022-07-22 23:32:24.063982;Schöne Doppelhaushälfte in Emden-Wybelsum;259000;116;4;389;Straße nicht freigegeben;26723;Emden;Wybelsum;Doppelhaushälfte;;Zustand: gepflegt ;nicht unterkellert, Dach ausgebaut ;;1995;D;Terrasse 
https://www.immowelt.de/expose/24scs5p;2022-07-22 23:32:24.782183;Zweifamilienhaus | kleiner Garten | Lage am See;109000;150;6;370;Straße nicht freigegeben;31195;LamspringeIrmenseul;;Mehrfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;nicht unterkellert ;;1900;H;
https://www.immowelt.de/expose/26nqw5g;2022-07-22 23:32:25.502440;Sie das Grundstück, wir das Massivhaus. Das clevere Raumwunder 100 in Irmenseul.;208010;100;4;kA  Grundstücksfl  ; Steinkamp;31195;Lamspringe;Irmenseul;Einfamilienhaus;;Zustand: Neubau ;;Massivhaus;2022;;
https://www.immowelt.de/expose/26fum5f;2022-07-22 23:32:26.143689;Ideal für eine große Familie: Gepflegtes, freistehendes Ein- bis Zweifamilienhaus in ruhiger Lage!;330000;245;8;1533;Straße nicht freigegeben;31195;LamspringeOT;Harbarnsen;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1980;D;
