url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/26rha54;2022-07-19 20:01:21.230010;Viel Raum zur individuellen Entfaltung!;452988;173.0;4;1266.0;Straße nicht freigegeben;37603;Holzminden;;Einfamilienhaus;;Zustand: projektiert ;;KfW 55;;;
https://www.immowelt.de/expose/25mvy5k;2022-07-19 20:01:21.950740;Großes Einfamilienhaus mit großem Garten in ruhiger Lage von Silberborn;189000;162.84;8;3541.0;Straße nicht freigegeben;37603;HolzmindenSilberborn;;Einfamilienhaus;;Zustand: renovierungsbedürftig ;voll unterkellert ;Massivhaus;1970.0;F;Terrasse, Garten 
https://www.immowelt.de/expose/263ja54;2022-07-19 20:01:22.721108;Entspannte Sonnenstunden auf Ihrer eigenen Terrasse!;451008;158.5;3;1266.0;Straße nicht freigegeben;37603;Holzminden;;Villa;;Zustand: projektiert ;;KfW 55;;;
https://www.immowelt.de/expose/25sq75f;2022-07-19 20:01:23.578697;Mehrfamilienhaus mit 3 Wohnungen und einem Ladengeschäft mit hoher Rendite;235000;200.0;10;100.0;Straße nicht freigegeben;37603;Holzminden;;Mehrfamilienhaus;;Zustand: renovierungsbedürftig ;teilweise unterkellert ;;1932.0;;
https://www.immowelt.de/expose/26lha54;2022-07-19 20:01:24.293420;Traumvilla auf Traumgrundstück!;379283;195.0;5;521.0;Straße nicht freigegeben;37603;Holzminden;;Villa;;Zustand: projektiert ;;KfW 55;;;
https://www.immowelt.de/expose/267ha5a;2022-07-19 20:01:24.994657;Massive Doppelhaushälfte in Zentrumsnähe!;205000;142.16;5;289.0;Straße nicht freigegeben;37603;Holzminden;;Doppelhaushälfte;;;;Massivhaus;1978.0;G;Terrasse, Balkon 
https://www.immowelt.de/expose/2698a5e;2022-07-19 20:01:25.754525;Gemütliches Haus mit großem Garten in ruhiger Lage von Holzminden;219000;114.0;6;714.0;Straße nicht freigegeben;37603;Holzminden;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1953.0;G;Terrasse, Garten 
https://www.immowelt.de/expose/26cel56;2022-07-19 20:01:27.853261;Paketverkauf: Gepflegtes Mehrfamilienhaus mit Geschäftseinheit in zentraler Lage;910000;516.0;21;584.0;Straße nicht freigegeben;37603;Holzminden;;Mehrfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1969.0;E;Balkon 
https://www.immowelt.de/expose/2525x53;2022-07-19 20:01:28.595384;Verwirklichen Sie Ihren Wohn(t)raum in Silberborn...;268900;136.82;5;702.0;Straße nicht freigegeben;37603;Holzminden;Silberborn;Einfamilienhaus;;Zustand: Neubau ;;;;;
https://www.immowelt.de/expose/24afu5z;2022-07-19 20:01:29.290209;Wohn-/Geschäftshaus in Holzminden;158500;180.0;9;613.0;Straße nicht freigegeben;37603;Holzminden;;Mehrfamilienhaus;;;;Holzhaus;1955.0;G;
https://www.immowelt.de/expose/25su75x;2022-07-19 20:01:30.014961;Exklusives Architektenhaus von Walter Höltje;1100000;350.0;6;2500.0;Straße nicht freigegeben;37603;Holzminden;;Einfamilienhaus;;Zustand: teilsaniert ;;;1962.0;;Terrasse, Garten 
https://www.immowelt.de/expose/26aa456;2022-07-19 20:01:32.950509;Nutzen Sie die Chance und bauen mit uns noch nach den aktuellen GEG-Konditionen!!;218750;110.0;4;1.0;Straße nicht freigegeben;29353;Ahnsbeck;;Bungalow;;Zustand: Neubau, projektiert ;;;2022.0;B;
https://www.immowelt.de/expose/255d45x;2022-07-19 20:01:36.939325;Modern und zukunftssicher leben. Altschulden kein Problem, ohne Eigenkapital möglich;515000;131.0;4;1830.0;Straße nicht freigegeben;21522;Hohnstorf;;Einfamilienhaus;;Zustand: Neubau, projektiert ;;;;;
https://www.immowelt.de/expose/26qj254;2022-07-19 20:01:37.656775;Bungalow mit Ausbaureserve auf großem Grundstück mit herrlichem Blick;425000;120.0;4;1179.0;Straße nicht freigegeben;21522;Hohnstorf;;Bungalow;;Zustand: gepflegt ;nicht unterkellert ;;1975.0;H;Terrasse, Garten 
https://www.immowelt.de/expose/225gx5j;2022-07-19 20:01:38.402811;Eigennutzung oder Kapitalanlage: Mehrfamilienhaus mit Garagen;429000;296.75;10,5;1259.0;Straße nicht freigegeben;21522;Hittbergen;Barförde;Mehrfamilienhaus;;Zustand: gepflegt ;;Massivhaus;2003.0;F;
https://www.immowelt.de/expose/2676q53;2022-07-19 20:01:39.123433;Schönes 3-Parteienhaus in Feldrandlage;350000;157.0;5;502.0;Straße nicht freigegeben;21522;Hittbergen;;Mehrfamilienhaus;;;;;1995.0;;
https://www.immowelt.de/expose/25r7r5x;2022-07-19 20:01:39.875454;Ein Zuhause zum Wohlfühlen auf Erbbaugrund: Schöner Bungalow mit großem Garten in idyllischer Lage;339000;108.0;5;1080.0;Straße nicht freigegeben;21522;Hohnstorf;Elbe;Bungalow;;Zustand: gepflegt ;voll unterkellert ;;1973.0;D;Terrasse, Garten 
https://www.immowelt.de/expose/26byq5d;2022-07-19 20:01:40.602955;Nicht nur für Eigennutzer: Bungalow mit 3 Einheiten und Garten in schöner Lage unweit der Elbe;479000;200.17;7;964.17;Straße nicht freigegeben;21522;Hohnstorf;Elbe;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1975.0;D;
https://www.immowelt.de/expose/26ejc57;2022-07-19 20:01:41.604191;Generationen unter einem Dach - Moderne Energiespartechnik;730000;203.0;7;1620.0;Straße nicht freigegeben;21522;Hohnstorf;;Mehrfamilienhaus;;Zustand: Neubau, projektiert ;;;;;
https://www.immowelt.de/expose/25psb5d;2022-07-19 20:01:42.397788;3 FH IN TRAUMLAGE - HOHNSTORF :-);485000;240.0;10;1157.0;Straße nicht freigegeben;21522;Hohnstorf;Elbe;Mehrfamilienhaus;2 ;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1969.0;;Terrasse, Balkon 
