url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/24j8d5t;2022-07-22 23:44:04.180953;OKAL - Wo Träume wahr werden - Jetzt 22.000,-EUR OKAL Zuschuss sichern;425900;154.9;5;781;Straße nicht freigegeben;49774;Lähden;;Einfamilienhaus;;;;KfW 55;2022.0;;
https://www.immowelt.de/expose/24ha75f;2022-07-22 23:44:04.816999;Kernsaniertes Einfamilienhaus nebst Stallungen auf großem Grundstück;399000;235.0;k.A.;11246;Straße nicht freigegeben;49774;LähdenHolteLastrup;;Einfamilienhaus;;;;;1940.0;D;
https://www.immowelt.de/expose/26anm5d;2022-07-22 23:44:05.573838;Winkelwalmdachbungalow auf Parkgrundstück mit unverbaubarem Waldblick! PROVISIONSFREI!;399000;221.0;7;1130;Straße nicht freigegeben;49774;LähdenHolteLastrup;;Bungalow;;;;Massivhaus;1989.0;D;Terrasse 
https://www.immowelt.de/expose/26tmj58;2022-07-22 23:44:06.275580;Ein weißes Träumchen in idyllischer Lage - Gepflegter Winkelwalmdachbungalow mit Garage PROVISIONSFREI!;325000;195.0;7;1000;Straße nicht freigegeben;49774;Lähden;Ahmsen;Bungalow;;Zustand: gepflegt ;;Massivhaus;1993.0;F;Terrasse 
https://www.immowelt.de/expose/264cm5b;2022-07-22 23:44:06.956139;Liegt am Wald - und an Ihnen! Junger Bungalow aus 2010 mit Carport - Provisionsfrei für den Käufer!;319000;101.0;3;433;Straße nicht freigegeben;49774;LähdenHolte;Holte-Lastrup;Bungalow;;;nicht unterkellert ;Massivhaus;2010.0;C;Terrasse 
https://www.immowelt.de/expose/26nbq56;2022-07-22 23:44:07.571341;Das besondere Etwas-Charmanter Bungalow mit viel Platz!;385000;125.71;3;595;Straße nicht freigegeben;49774;Lähden;Holte-Lastrup;Einfamilienhaus;;Zustand: gepflegt ;;;2014.0;C;Terrasse 
https://www.immowelt.de/expose/25dzv5n;2022-07-22 23:44:08.609119;Endlich viel Platz für alle...;349000;235.0;6;1214;Straße nicht freigegeben;49774;Lähden;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1954.0;D;Terrasse 
https://www.immowelt.de/expose/26nqj5c;2022-07-22 23:44:09.343287;Moderner gradliniger Grundriss mit hohem Kniestock;470909;136.0;5;593;Straße nicht freigegeben;49170;HagenaTW;Natrup-Hagen;Einfamilienhaus;;Zustand: projektiert ;;KfW 55;2023.0;;
https://www.immowelt.de/expose/22pnj5z;2022-07-22 23:44:09.973078;Gepflegtes Mehrfamilienhaus in Toplage von Hagen a.T.W.;699000;334.0;15;653;Straße nicht freigegeben;49170;HagenamTeutoburgerWald;;Mehrfamilienhaus;;;voll unterkellert ;;;;Terrasse 
https://www.immowelt.de/expose/26uqj5c;2022-07-22 23:44:10.666173;Doppelhaushälfte mit modernen Flachdachgauben;459719;127.49;4;447;Straße nicht freigegeben;49170;HagenaTW;Natrup-Hagen;Doppelhaushälfte;;Zustand: projektiert ;;KfW 55;2023.0;;
https://www.immowelt.de/expose/26kqj5c;2022-07-22 23:44:11.286011;Moderner gradliniger Grundriss mit hohem Kniestock;466489;136.0;5;490;Straße nicht freigegeben;49170;HagenaTW;Natrup-Hagen;Einfamilienhaus;;Zustand: projektiert ;;KfW 55;2023.0;;
https://www.immowelt.de/expose/26wuj58;2022-07-22 23:44:11.965891;Raumwunder mit gepflegter Außenanlage im schönen Hagen a.T.W!;589000;249.93;7;513;Straße nicht freigegeben;49170;HagenamTeutoburgerWald;;Einfamilienhaus;;Zustand: renoviert / saniert ;voll unterkellert ;;1977.0;;Terrasse, Balkon 
https://www.immowelt.de/expose/26jg35d;2022-07-22 23:44:12.620297;RESERVIERT! gepflegtes Einfamilienhaus mit Vollkeller und Garage in ruhiger Siedlungslage ;299000;173.0;6;791;Straße nicht freigegeben;49170;HagenamTeutoburgerWald;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1978.0;G;Terrasse, Garten, Balkon 
https://www.immowelt.de/expose/26pqj5c;2022-07-22 23:44:13.266347;Moderner gradliniger Grundriss mit hohem Kniestock;497389;136.0;5;593;Straße nicht freigegeben;49170;HagenaTW;Natrup-Hagen;Einfamilienhaus;;Zustand: projektiert ;;KfW 55;2023.0;;
