url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/25zw75w;2022-07-20 11:57:46.168264;Ihre Nachbarn werden staunen! Ein Bungalow der begeistert in Goslar OT Jerstedt;260490.0;128.0;6;550;Straße nicht freigegeben;38644;Jerstedt;;Einfamilienhaus;1 Geschoss;Zustand: Neubau ;;;;;
https://www.immowelt.de/expose/25yqz5t;2022-07-20 11:57:46.785415;Eigenheim trotz steigender Zinsen & Hausbaukosten... unser Town & Country Doppelhaus Mainz 128 in Goslar OT Jerstedt;248820.0;121.0;5;492;Straße nicht freigegeben;38644;Goslar;Jerstedt;;3 ;Zustand: Neubau ;;;;;
https://www.immowelt.de/expose/25dpn5w;2022-07-20 11:57:47.341925;Typisches Harzhaus als Mehrfamilienhaus mit viel Potential;230000.0;167.0;10;587;Straße nicht freigegeben;38644;GoslarOTHahnenklee;;Mehrfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1904.0;;Terrasse 
https://www.immowelt.de/expose/25wy35c;2022-07-20 11:57:47.953193;Mehrfamilienhaus oder Ferienhaus in Zentrum  von Goslar-Hahnenklee !!!;465000.0;300.0;13;666;Theodor-Hein-Straße 6;38644;Goslar;Hahnenklee;Mehrfamilienhaus;3 ;;teilweise unterkellert ;;1900.0;;Terrasse, Garten, Gartenanteil, Balkon, Wintergarten 
https://www.immowelt.de/expose/2wkyg4w;2022-07-20 11:57:48.543233;Ehemaliges Gasthaus mit Café im Dornröschenschlaf;;578.61;30;2250;Hahnenkleer Strasse 2;38644;Goslar;Hahnenklee;Mehrfamilienhaus;4 ;;voll unterkellert ;Massivhaus;1963.0;G;Terrasse, Garten, Gartenmitbenutzung 
https://www.immowelt.de/expose/253x75w;2022-07-20 11:57:49.141355;Viel Wohnraum auf kleiner Fläche. Ihr Raumwunder in Goslar OT Jerstedt;208010.0;100.0;4;550;Straße nicht freigegeben;38644;Jerstedt;;;2 ;Zustand: Neubau ;;;;;
https://www.immowelt.de/expose/254nv5v;2022-07-20 11:57:49.778666;RMH Jerstedt - Gepflegtes Raumwunder mit Blick auf den Brocken;348000.0;101.55;6;217;Straße nicht freigegeben;38644;GoslarJerstedt;;Reihenmittelhaus;;Zustand: gepflegt ;;;1997.0;D;Terrasse 
https://www.immowelt.de/expose/24nww5m;2022-07-20 11:57:50.412140;SCHWINGE IMMOBILIEN Stade: Einfamilienhaus mit 132 m² Wohnfläche in Düdenbüttel zu verkaufen.;360000.0;132.0;5,5;557;Straße nicht freigegeben;21709;Düdenbüttel;;Einfamilienhaus;1 Geschoss;;;;1995.0;F;
https://www.immowelt.de/expose/25afr5u;2022-07-20 11:57:51.049253;Einfamilienhaus in Himmelpforten;325000.0;158.22;6;924;Straße nicht freigegeben;21709;Himmelpforten;;Einfamilienhaus;;;teilweise unterkellert ;;1961.0;H;Terrasse, Balkon 
https://www.immowelt.de/expose/24ztj5t;2022-07-20 11:57:51.693935;SCHWINGE IMMOBILIEN Stade: 177 m² Wohnhaus mit 3 Garagen und 1.405 m² Gartengrundstück zu verkaufen.;285000.0;177.0;5,5;1405;Straße nicht freigegeben;21709;Himmelpforten;Breitenwisch;Einfamilienhaus;1 Geschoss;;;;1964.0;;
https://www.immowelt.de/expose/25pke5t;2022-07-20 11:57:52.321753;***HIMMELPFORTEN***NEUWERTIGES REIHENHAUS ZU VERKAUFEN***;290000.0;83.5;3;239;Schulstraße 7b;21709;HimmelpfortenNiederelbe;;Reihenmittelhaus;;Zustand: Neubau ;nicht unterkellert ;;2018.0;C;Terrasse, Garten, Gartenanteil 
https://www.immowelt.de/expose/24m835a;2022-07-20 11:57:52.961130;SCHWINGE IMMOBILIEN Stade: 190 m² Wohnhaus mit 1.138 m² Grundstück in Düdenbüttel zu verkaufen.;299000.0;190.0;8;1138;Hauptstraße 12;21709;Düdenbüttel;;Mehrfamilienhaus;1 Geschoss;Zustand: gepflegt ;teilweise unterkellert ;;2004.0;H;Terrasse 
https://www.immowelt.de/expose/26ubt5c;2022-07-20 11:57:53.564635;Neuwertig, naturnah, ideal gelegen: Energieeffizienzhaus mit großem Garten, Terrasse u. Stellplatz;569000.0;150.0;5;948;Straße nicht freigegeben;21709;Düdenbüttel;;Einfamilienhaus;;;nicht unterkellert ;;2018.0;A+;
https://www.immowelt.de/expose/26pt955;2022-07-20 11:57:54.271304;Großes Einfamilienhaus in ruhiger Lage;539000.0;200.0;8;1096;Straße nicht freigegeben;21709;Düdenbüttel;;Einfamilienhaus;;Zustand: gepflegt ;;Massivhaus;2000.0;B;Terrasse, Garten, Gartenanteil 
https://www.immowelt.de/expose/26pad58;2022-07-20 11:57:54.899875;RESERVIERT! Sofort beziehbar! Moderner Bungalow in ruhiger Lage ;337000.0;102.0;4;580;Straße nicht freigegeben;21709;Himmelpforten;;Bungalow;;;teilweise unterkellert ;;1972.0;;Terrasse, Garten 
https://www.immowelt.de/expose/25fmp5n;2022-07-20 11:57:55.553854;Im Herzen von Himmelpforten!;875000.0;320.0;8;1095;Straße nicht freigegeben;21709;Himmelpforten;;Einfamilienhaus;;Zustand: Altbau (bis 1945) ;;;1900.0;D;
https://www.immowelt.de/expose/25ey45y;2022-07-20 11:57:56.213996;SCHWINGE IMMOBILIEN Stade: Wohnhaus mit über 200 m² Wohnfläche + Vollkeller + 1.235 m² Grundstück.;380000.0;205.0;6;1235;Mittelweg 1;21709;Düdenbüttel;;Einfamilienhaus;;;voll unterkellert ;;2016.0;C;Terrasse 
https://www.immowelt.de/expose/258zu5q;2022-07-20 11:57:56.854463;Courtagefrei: Sonniges Plätzchen am südöstlichen Ortsrand von Himmelpforten;360000.0;120.0;5;746;Straße nicht freigegeben;21709;HimmelpfortenNiederelbe;;Einfamilienhaus;;Zustand: gepflegt ;;;1977.0;F;Terrasse, Loggia 
https://www.immowelt.de/expose/25mc55y;2022-07-20 11:57:57.452194;SCHWINGE IMMOBILIEN Stade: Wohnhaus mit Nebengebäude in ruhiger Lage von Weißenmoor.;220000.0;110.0;5;1500;Straße nicht freigegeben;21709;Düdenbüttel;;Einfamilienhaus;;;;;1994.0;;
https://www.immowelt.de/expose/269mc54;2022-07-20 11:57:58.124937;Geräumiges und solides Einfamilienhaus in Alleinlage in 21709 Burweg-Blumenthal;296500.0;181.07;8;1250;Straße nicht freigegeben;21709;BurwegBlumenthal;;Einfamilienhaus;;;voll unterkellert ;;2005.0;C;Terrasse 
