url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/25e4c5x;2022-07-19 20:25:09.586314;Mehrfamilienhaus mit Gewerbe im schönen Hellern;679000;225.0;k.A.;1546;Straße nicht freigegeben;49078;Osnabrück;Hellern;Mehrfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1968.0;;
https://www.immowelt.de/expose/2xztz49;2022-07-19 20:25:10.282335;Mehr Stil - mehr Ambiente;405;133.0;5;560;Straße nicht freigegeben;49078;Osnabrück;Hellern;;;;;Niedrigenergiehaus;;;
https://www.immowelt.de/expose/25zfe57;2022-07-19 20:25:11.009611;***Traumhaftes Haus sucht Familie zum alt werden***;409900;144.0;5;624;Straße nicht freigegeben;49078;Osnabrück;Hellern;Einfamilienhaus;;;;KfW 55;2022.0;;
https://www.immowelt.de/expose/25lhe57;2022-07-19 20:25:11.699630;***Hier ist Platz für 2 Familien!***;564900;139.0;8;471;Straße nicht freigegeben;49078;Osnabrück;Hellern;Mehrfamilienhaus;;;;KfW 55;2022.0;;
https://www.immowelt.de/expose/24xqw5q;2022-07-19 20:25:12.597261;Auf nach Hellern! Großes Haus in beliebter Stadtlage;575000;203.0;6;585;Straße nicht freigegeben;49078;Osnabrück;Hellern;Mehrfamilienhaus;;;;;1964.0;H;
https://www.immowelt.de/expose/26v6l58;2022-07-19 20:25:13.377474;Provisionsfreies EFH mit Garten in Osnabrück Weststadt/ Westerberg;1690000;206.0;6,5;653;Straße nicht freigegeben;49078;Osnabrück;Weststadt;Einfamilienhaus;2 ;Zustand: renoviert ;voll unterkellert ;;2007.0;A+;Terrasse, Garten 
https://www.immowelt.de/expose/25wje57;2022-07-19 20:25:14.156446;***Hier ist Platz für 2 Familien!***;564900;139.0;8;487;Straße nicht freigegeben;49078;Osnabrück;Weststadt;Mehrfamilienhaus;;;;KfW 55;2022.0;;
https://www.immowelt.de/expose/254ec5x;2022-07-19 20:25:14.858431;Schön(er) leben in Hellern mit Aus- und Anbauoptionen;789000;263.0;k.A.;1373;Straße nicht freigegeben;49078;Osnabrück;Hellern;Mehrfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1957.0;;Garten, Balkon 
https://www.immowelt.de/expose/26kv25e;2022-07-19 20:25:18.081923;Großzügiges Einfamilienhaus mit Sonnenterrasse und Herrlichen Garten in 38179 Groß Schwülper;699000;160.0;5;600;Straße nicht freigegeben;38179;GroßSchwülper;;Einfamilienhaus;;;;;1998.0;;
https://www.immowelt.de/expose/24jp55k;2022-07-19 20:25:18.757395;Der morderne Bungalow, der keinen Wunsch offen lässt.;240200;130.25;4;kA  Grundstücksfl  ;Straße nicht freigegeben;38179;Schwülper;Groß Schwülper;Bungalow;1 Geschoss;Zustand: Erstbezug, Neubau ;;Massivhaus;2022.0;;
https://www.immowelt.de/expose/25x4h5u;2022-07-19 20:25:19.467141;Größzügige Villa in Walle mit Feldrandlage am Naturschutzgebiet;1347000;341.0;10;959;Straße nicht freigegeben;38179;Schwülper;Walle;Villa;;Zustand: renoviert ;;;1995.0;;Terrasse, Garten, Balkon 
https://www.immowelt.de/expose/25q8m5a;2022-07-19 20:25:20.164080;EFH mit Keller in 38179 Groß Schwülper OT Lagesbüttel;685000;165.0;5;759;Straße nicht freigegeben;38179;GroßSchwülper;Lagesbüttel;Bungalow;;;;;1979.0;;Terrasse 
https://www.immowelt.de/expose/26ywv52;2022-07-19 20:25:21.058944;NEUBAU: Sofort einziehen - inklusive Carport und Gartenanlage;650000;141.0;5;308;Straße nicht freigegeben;38179;Schwülper;Groß Schwülper;Doppelhaushälfte;;Zustand: Neubau ;;Massivhaus;2021.0;A+;
https://www.immowelt.de/expose/249yh5l;2022-07-19 20:25:21.796657;Groß Schwülper Stadtvilla in Ruhiger Lage;725000;167.0;5;700;Straße nicht freigegeben;38179;GroßSchwülper;Lagesbüttel;Einfamilienhaus;;;;;2013.0;;
https://www.immowelt.de/expose/24m995p;2022-07-19 20:25:22.713048;Neubau: Doppelhaushälfte in Groß Schwülper!;695000;155.0;6;452;Straße nicht freigegeben;38179;GroßSchwülper;;Doppelhaushälfte;;Zustand: Erstbezug ;nicht unterkellert ;;2022.0;;
https://www.immowelt.de/expose/26scb58;2022-07-19 20:25:39.113102;Attraktives Einfamilienhaus mit Garage, Terrasse und Balkon bei Wolfsburg!;490000;180.0;7;697;Straße nicht freigegeben;38554;Weyhausen;;Einfamilienhaus;;;nicht unterkellert ;;1966.0;H;Terrasse, Garten, Balkon 
https://www.immowelt.de/expose/25mxm5w;2022-07-19 20:25:40.079037;Stufenlos glücklich sein! Ihr Bungalow 110 in Osloß (Gemeinde in Gifhorn);211750;110.0;5;711;Straße nicht freigegeben;38557;Osloß;;Einfamilienhaus;1 Geschoss;Zustand: Neubau ;;;;;
https://www.immowelt.de/expose/26dbx58;2022-07-19 20:25:40.815516;Für Familien und Pendler: Gepflegte Doppelhaushälfte auf Erbpachtgrundstück in ruhiger Lage;269000;113.0;4;307;Straße nicht freigegeben;38554;Weyhausen;;Doppelhaushälfte;;Zustand: gepflegt ;nicht unterkellert ;;1996.0;D;Terrasse, Garten 
https://www.immowelt.de/expose/249n45y;2022-07-19 20:25:41.504794;Stufenlose Wohnträume werden wahr inkl. Grundstück;458860;107.0;3;546;Straße nicht freigegeben;38554;Weyhausen;;Bungalow;1 Geschoss;;;;;;
https://www.immowelt.de/expose/24tr35y;2022-07-19 20:25:42.254390;Wohnvergnügen für Individualisten inkl. Grundstück;571000;128.0;5;685;Straße nicht freigegeben;38554;Weyhausen;;Bungalow;1 Geschoss;;;;;;
https://www.immowelt.de/expose/255ym5w;2022-07-19 20:25:43.010349;Ein Haus, welches sich Ihren Lebensumständen anpasst! Ihr Haus mit Zukunft in Osloß (zwischen Gifhorn & Wolfsburg gelegen);256040;148.0;4;711;Straße nicht freigegeben;38557;Osloß;;;2 ;Zustand: Neubau ;;;;;
https://www.immowelt.de/expose/24ev35y;2022-07-19 20:25:43.691363;Stilecht leben im Bungalow inkl. Grundstück;493000;107.0;3;592;Straße nicht freigegeben;38554;Weyhausen;;Bungalow;1 Geschoss;;;;;;
