url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/26kmq5h;2022-07-24 14:08:55.822497;Trautes Heim -Glück tritt ein!!!;350000;182.0;6;1150;Straße nicht freigegeben;29331;Lachendorf;;Einfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;;;1967;E;Terrasse, Balkon 
https://www.immowelt.de/expose/26g2p5f;2022-07-24 14:08:56.928539;Haßbergen-gepflegtes, gut vermietetes u. modernisiertes Zweifamilienhaus m. massiver Doppelgarage;369900;172.0;7;973;Straße nicht freigegeben;31626;Haßbergen;;Einfamilienhaus;;Zustand: gepflegt ;;;1993;C;Terrasse, Garten, Loggia 
https://www.immowelt.de/expose/252za5d;2022-07-24 14:08:57.620055;großzügiges, modernes, exklusives EFH mit massiven Nebengebäuden;749000;260.0;7;1745;Schwarzestraße 33;31626;Haßbergen;;Einfamilienhaus;2.0;;voll unterkellert ;;2003;;
https://www.immowelt.de/expose/2585y5e;2022-07-24 14:08:58.246591;Haßbergen-Lust aufs Land? Rotsteinklinkerhaus mit Charme u. Nebengebäuden auf großen Areal;299500;180.0;8;2661;Straße nicht freigegeben;31626;Haßbergen;;Einfamilienhaus;;Zustand: gepflegt ;;;1930;F;
https://www.immowelt.de/expose/25j9f54;2022-07-24 14:08:59.021907;Bungalow mit zwei Wohneinheiten! Kauf auf Nießbrauchbasis auf 15 Jahre!;219000;123.81;5;700;Straße nicht freigegeben;31626;Haßbergen;;Einfamilienhaus;;Zustand: gepflegt ;nicht unterkellert ;Massivhaus;2010;C;
https://www.immowelt.de/expose/25lgm54;2022-07-24 14:08:59.808416;Haßbergen/Top Einfamilienhaus mit schönem Grundstück in ruhiger Lage;495000;288.0;8;2908;Straße nicht freigegeben;31626;Haßbergen;;Einfamilienhaus;;Zustand: Altbau (bis 1945), renovierungsbedürftig / sanierungsbedürftig ;voll unterkellert ;Massivhaus;1969;G;Terrasse, Wintergarten 
https://www.immowelt.de/expose/252rk5j;2022-07-24 14:09:00.747481;RESERVIERT-Ein- bis Zweifamilienhaus mit Nebengebäuden und Potenzial auf großem Grundstück;199900;150.0;7;2955;Straße nicht freigegeben;31626;Haßbergen;;Einfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;;Massivhaus;1958;G;
https://www.immowelt.de/expose/26j955b;2022-07-24 14:09:01.388150;Schönes Friesenhaus in ruhiger Lage!;725000;181.0;4,5;1034;Straße nicht freigegeben;21444;Vierhöfen;;Einfamilienhaus;;Zustand: gepflegt ;;;1990;;Terrasse, Garten 
https://www.immowelt.de/expose/265n95f;2022-07-24 14:09:02.100157;Schöne Doppelhaushälfte mit Atelier und grossem Garten...;349000;124.0;3;1034;Straße nicht freigegeben;21444;Vierhöfen;;Doppelhaushälfte;;Zustand: gepflegt ;;;2008;B;Terrasse, Garten 
https://www.immowelt.de/expose/26flw53;2022-07-24 14:09:02.797542;Familienparadies, schönes Friesenhaus in Vierhöfen;699000;181.0;4,5;1034;Am Ilmer 15;21444;Vierhöfen;;Einfamilienhaus;;;;;2002;E;Terrasse, Garten 
