url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/25hxd59;2022-07-21 13:27:25.577706;Naturnahe Immobilie auf einem Grundstück mit Weitblick in Elbnähe;210000;132;8;1478;Straße nicht freigegeben;29490;NeuDarchau;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1974;H;Terrasse, Balkon 
https://www.immowelt.de/expose/258895j;2022-07-21 13:27:26.341932;Wohnen direkt an der Elbe in Neu Darchau OT Katemin (TK-5875);259000;130;6;900;Straße nicht freigegeben;29490;NeuDarchauKatemin;;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;;1985;G;Terrasse 
https://www.immowelt.de/expose/26wbc5c;2022-07-21 13:27:27.198400;Idyllisches Domizil: Hier kommt Sie das Reh morgens besuchen!;215000;80;3,5;1396;Straße nicht freigegeben;29490;NeuDarchau;;Einfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;voll unterkellert ;Holzhaus;1981;;Terrasse, Wintergarten 
https://www.immowelt.de/expose/26c2s5e;2022-07-21 13:27:27.883493;Platz für zwei Generationen!;369000;215;11;278;Straße nicht freigegeben;31167;Bockenem;Nette;Mehrfamilienhaus;;;voll unterkellert ;;1920;E;
https://www.immowelt.de/expose/26rm65g;2022-07-21 13:27:28.635148;Das clevere Raumwunder 100 im kommenden Baugeb. in Bockenem.;208010;100;4;kA  Grundstücksfl  ;Ambergauring ;31167;Bockenem;;Einfamilienhaus;;Zustand: Neubau ;;Massivhaus;2022;;
https://www.immowelt.de/expose/25ge359;2022-07-21 13:27:29.348570;Stilvolles Wohnen im eleganten Stil. ***MIT GRUNDSTÜCK IN BOCKENEM***;332090;144.47;4;1251;Straße nicht freigegeben;31167;Bockenem;Groß Ilde;Stadthaus;2 ;Zustand: Erstbezug ;;Massivhaus;2022;;
https://www.immowelt.de/expose/25jyf5t;2022-07-21 13:27:30.048191;Schönes, großes Fachwerkhaus mit Garten und Ladengeschäft in Bockenem!;120000;227;9;468;Straße nicht freigegeben;31167;Bockenem;;;;;voll unterkellert ;;1850;;
https://www.immowelt.de/expose/26p9v5f;2022-07-21 13:27:30.774953;Perfekt für die große Familie, traumhafte Feldrandlage!;175000;140;7;733;Straße nicht freigegeben;31167;Bockenem;Volkersheim;Einfamilienhaus;;Zustand: gepflegt ;voll unterkellert ;Massivhaus;1971;G;Terrasse, Garten, Balkon 
https://www.immowelt.de/expose/26rr85g;2022-07-21 13:27:31.723327;Hier wartet Ihr Traumhaus auf Sie - in Volkersheim 31167, frisch renoviert, OHNE KÄUFERPROVISION!!;285000;140;5;409;Straße nicht freigegeben;31167;Bockenem;Volkersheim;Reihenendhaus;3 ;Zustand: renoviert / saniert ;voll unterkellert ;;1950;;Terrasse, Garten 
https://www.immowelt.de/expose/26x945b;2022-07-21 13:27:32.450427;Gepflegtes Haus sucht neue Familie;275000;148;6;765;Straße nicht freigegeben;31167;Bockenem;;Einfamilienhaus;;Zustand: Altbau (bis 1945) ;;;1953;E;
https://www.immowelt.de/expose/256hj5t;2022-07-21 13:27:33.290795;Historisches Wohnhaus mit Garten und Nebengebäude in ruhiger, naturnaher Lage;150000;130;7;479;Straße nicht freigegeben;31167;Bockenem;Bornum am Harz;Einfamilienhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;;;1900;H;
https://www.immowelt.de/expose/267dq5f;2022-07-21 13:27:34.098557;Gepflegtes Fachwerkhaus in Bockenem!;189000;117.91;8;290;Straße nicht freigegeben;31167;Bockenem;;Mehrfamilienhaus;;;teilweise unterkellert ;Massivhaus;1900;;Balkon 
https://www.immowelt.de/expose/24u485v;2022-07-21 13:27:34.866754;**Provisionsfrei** StadtVilla auf großem Grundstück;349000;252;9;1334;Straße nicht freigegeben;31167;Bockenem;Volkersheim;Villa;;Zustand: Altbau (bis 1945), gepflegt ;voll unterkellert ;;1936;E;Terrasse, Balkon 
https://www.immowelt.de/expose/267ec56;2022-07-21 13:27:35.665195;Fachwerkcharme in vielseitiger Lage: RMH mit Terrasse, Innenhof und großem Potenzial;89000;132;5;108;Straße nicht freigegeben;31167;Bockenem;;Reihenmittelhaus;;Zustand: gepflegt ;nicht unterkellert ;;1848;F;
https://www.immowelt.de/expose/2599w5u;2022-07-21 13:27:36.370999;Einfamilienhaus in ruhiger Lage;149000;110;5;282;Straße nicht freigegeben;31167;Bockenem;Störy;Einfamilienhaus;;;;;1924;F;
https://www.immowelt.de/expose/25lmw5g;2022-07-21 13:27:38.075554;Zentral wohnen in Bockenem;229000;115;6;540;Straße nicht freigegeben;31167;Bockenem;;Reihenmittelhaus;;;;;1922;F;
https://www.immowelt.de/expose/26xha5g;2022-07-21 13:27:38.846987;Mit unserem Bungalow schaffen Sie sich Luxus auf einer Etage!;397220;131;5;768;Straße nicht freigegeben;31167;Bockenem;Bönnien;Bungalow;1 Geschoss;Zustand: Erstbezug, Neubau ;;KfW 55, Massivhaus;2022;;Terrasse 
https://www.immowelt.de/expose/26grw5g;2022-07-21 13:27:39.546094;Zu Hause einfach genießen, Ihr Familienhaus in Bornum.;234260;124;5;kA  Grundstücksfl  ;Am Sportplatz;31167;Bockenem;Bornum am Harz;Einfamilienhaus;;Zustand: Neubau ;;Massivhaus;2022;;
https://www.immowelt.de/expose/25rq65y;2022-07-21 13:27:40.261669;Schönes, fast fertig modernisiertes Reihenendhaus in Volkersheim...;285000;140;5;409;Straße nicht freigegeben;31167;BockenemVolkersheim;;Reihenendhaus;;;;;1950;;
https://www.immowelt.de/expose/24d665w;2022-07-21 13:27:40.975292;Großzügiges Stadthaus mit viel Potenzial!;180000;200;7;500;Straße nicht freigegeben;31167;Bockenem;;;;Zustand: gepflegt ;voll unterkellert ;;1840;;
https://www.immowelt.de/expose/25wbt5y;2022-07-21 13:27:41.668881;Günstig ins eigene Haus;120000;110;3;448;Straße nicht freigegeben;31167;Bockenem;Nette;Einfamilienhaus;;Zustand: Altbau (bis 1945) ;;;1977;G;
https://www.immowelt.de/expose/25lya5h;2022-07-21 13:27:42.421300;Spitzenstandort in der ersten Reihe - Außenplätze möglich;174000;285;8;800;Straße nicht freigegeben;31167;Bockenem;;Mehrfamilienhaus;;Zustand: Altbau (bis 1945) ;voll unterkellert ;;1900;F;
https://www.immowelt.de/expose/2546t5z;2022-07-21 13:27:43.144394;"*RESERVIERT*  "" Mit handwerklichem Geschick ins Eigenheim""";249000;110;4;1534;Straße nicht freigegeben;27419;Sittensen;;Einfamilienhaus;;;teilweise unterkellert ;;1958;H;Terrasse 
