url;zeitpunkt;titel;preis;wohnflaeche;anz_zimmer;grundstueckflaeche;strasse;plz;stadt;stadtteil;kategorie;anz_stockwerke;zustand;keller;typ;baujahr;energieeffizienz;aussenbereich
https://www.immowelt.de/expose/2542y5p;2022-07-24 14:06:48.302287;Inseltypisches Hotel-Restaurant mit Ferienhaus;3500000;572.21;18;1142;Straße nicht freigegeben;26579;OstfriesischeInseln;;Mehrfamilienhaus;;;;;;;
https://www.immowelt.de/expose/23x8v5w;2022-07-24 14:06:50.017080;4 - Sterne Mehrfamilienhaus auf Baltrum mit Ferienwohnungen;1500000;420.0;17;810;Straße nicht freigegeben;26579;Baltrum;;;;Zustand: gepflegt ;;;1971.0;E;Terrasse, Garten, Balkon 
https://www.immowelt.de/expose/25f4p53;2022-07-24 14:06:51.253695;In beliebter Lage von Baltrum! Top gepflegtes Reihenendhaus mit Terrasse und eigenem Grundbuchblatt!;749000;77.23;4;142;Straße nicht freigegeben;26579;Baltrum;;Reihenendhaus;;;;;1998.0;E;
https://www.immowelt.de/expose/26vr65c;2022-07-24 14:06:51.879981;Ihr neue Adresse in Büddenstedt im Reihenendhaus mit Garten und Garage;129000;78.0;4;694;Straße nicht freigegeben;38372;Büddenstedt;;Reihenendhaus;;Zustand: renovierungsbedürftig / sanierungsbedürftig ;voll unterkellert ;;1950.0;E;
https://www.immowelt.de/expose/264s456;2022-07-24 14:06:52.538825;Das 3-Familienhaus mit besonderen EXTRAS in Offleben;249900;370.0;14;771;Straße nicht freigegeben;38372;Offleben;;Mehrfamilienhaus;;Zustand: Altbau (bis 1945), gepflegt ;voll unterkellert ;;1880.0;D;Terrasse, Balkon 
https://www.immowelt.de/expose/26s7v5h;2022-07-24 14:06:53.159650;Großzügiges Wohnen mit Terrasse und Garten - 6 Zi. auf 1 Ebene in Burweg;365000;150.0;6;1235;Dorfstraße 20;21709;Burweg;;;1 Geschoss;;voll unterkellert ;;1965.0;;Terrasse, Garten 
